"bbc7084","jc3943","Sat, 20 May 2023 21:55:48 -0400","changed the bloody dns do to the fact there is still no qa",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"215d021","jc3943","Sun, 16 Oct 2022 17:33:17 -0400","modified nso-cl2022.yaml for new docker image",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"3196ee5","jc3943","Sun, 16 Oct 2022 17:29:08 -0400","modified nso-cl2022.yaml for new docker image",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"94e1d9d","jc3943","Mon, 4 Jul 2022 21:53:13 -0400","added k8s node stat and ubdated pod-builder",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"2dee51d","jc3943","Mon, 4 Jul 2022 21:52:22 -0400","added k8s node stat and ubdated pod-builder",	 4 files changed, 45 insertions(+)	
"9db7ba2","jc3943","Wed, 15 Jun 2022 07:34:11 -0700","added nso specific jenkins files",	 2 files changed, 66 insertions(+)	
"024983e","jc3943","Tue, 14 Jun 2022 08:16:45 -0700","modified jenkinsfile",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"32cf803","jc3943","Tue, 14 Jun 2022 08:07:36 -0700","modified jenkinsfile",	 1 file changed, 20 insertions(+)	
"83b0ec4","jc3943","Thu, 9 Jun 2022 21:16:00 -0400","modifed nso-cl2022.yaml",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"06ab21f","jc3943","Thu, 9 Jun 2022 20:10:34 -0400","modifying nso-cl2022.yaml for runtime entry",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"2ef4a2c","jc3943","Thu, 9 Jun 2022 18:52:15 -0400","modified nso def",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"eece674","jc3943","Thu, 9 Jun 2022 18:43:11 -0400","mods to jenkins defs",	 16 files changed, 16 deletions(-)	
"07014af","jc3943","Thu, 9 Jun 2022 18:20:47 -0400","updated jenkins defs",	 16 files changed, 31 insertions(+), 16 deletions(-)	
"c5d090b","jc3943","Tue, 7 Jun 2022 19:27:22 -0400","added static to jenkins pod defs",	 16 files changed, 16 insertions(+)	
"c863c92","jc3943","Tue, 7 Jun 2022 17:33:54 -0400","modified main pod-builder to include ubuntu jb's",	 3 files changed, 25 insertions(+), 1 deletion(-)	
"7bbf691","jc3943","Tue, 7 Jun 2022 17:28:31 -0400","modified pod-ubuntu",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"276d4f8","jc3943","Tue, 7 Jun 2022 17:27:42 -0400","modified pod-ubuntu",	 2 files changed, 5 insertions(+), 4 deletions(-)	
"3b89db1","jc3943","Tue, 7 Jun 2022 16:58:05 -0400","new pod1 branch",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"ce3b034","jc3943","Tue, 7 Jun 2022 16:50:14 -0400","new pod1 branch",	 1 file changed, 2 insertions(+), 1 deletion(-)	
"e577ed8","jc3943","Tue, 7 Jun 2022 16:21:36 -0400","added dns_servers",	 1 file changed, 1 insertion(+)	
"faa7283","jc3943","Tue, 7 Jun 2022 12:30:01 -0400","made vars for ubuntu pods",	 47 files changed, 31 insertions(+), 18 deletions(-)	
"d0a1434","jc3943","Tue, 7 Jun 2022 11:41:16 -0400","modifying ubuntu clone code",	 2 files changed, 3 insertions(+), 3 deletions(-)	
"945317b","jc3943","Tue, 7 Jun 2022 11:39:04 -0400","modifying ubuntu clone code",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"0ce61dc","jc3943","Tue, 7 Jun 2022 11:36:37 -0400","modifying ubuntu clone code",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"b89e7f7","jc3943","Tue, 7 Jun 2022 11:35:32 -0400","modifying ubuntu clone code",	 1 file changed, 1 insertion(+), 1 deletion(-)	
