name_prefix,template,ip_adress,netmask,gateway
ubunt-,TMPL_ubuntu2204-pod,172.0.1.1,255.255.255.0,172.0.1.254
ubunt-,TMPL_ubuntu2204-pod,172.0.2.1,255.255.255.0,172.0.2.254
ubunt-,TMPL_ubuntu2204-pod,172.0.3.1,255.255.255.0,172.0.3.254
ubunt-,TMPL_ubuntu2204-pod,172.0.4.1,255.255.255.0,172.0.4.254
ubunt-,TMPL_ubuntu2204-pod,172.0.5.1,255.255.255.0,172.0.5.254
ubunt-,TMPL_ubuntu2204-pod,172.0.6.1,255.255.255.0,172.0.6.254
ubunt-,TMPL_ubuntu2204-pod,172.0.7.1,255.255.255.0,172.0.7.254
ubunt-,TMPL_ubuntu2204-pod,172.0.8.1,255.255.255.0,172.0.8.254
ubunt-,TMPL_ubuntu2204-pod,172.0.9.1,255.255.255.0,172.0.9.254
ubunt-,TMPL_ubuntu2204-pod,172.0.10.1,255.255.255.0,172.0.10.254
ubunt-,TMPL_ubuntu2204-pod,172.0.11.1,255.255.255.0,172.0.11.254
ubunt-,TMPL_ubuntu2204-pod,172.0.12.1,255.255.255.0,172.0.12.254
ubunt-,TMPL_ubuntu2204-pod,172.0.13.1,255.255.255.0,172.0.13.254
ubunt-,TMPL_ubuntu2204-pod,172.0.14.1,255.255.255.0,172.0.14.254
ubunt-,TMPL_ubuntu2204-pod,172.0.15.1,255.255.255.0,172.0.15.254
ubunt-,TMPL_ubuntu2204-pod,172.0.16.1,255.255.255.0,172.0.16.254
